replicate,334_373,334_384,600,ratio,surfactant_1,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,analysis,well_idx,concentration
2,163198.0,206967.0,0.0402,0.7885218416462528,SDS,0.05,NaC,0.95,fine_fine,12,5.263688372678459
2,147369.0,182523.0,0.0404,0.8073996153909371,SDS,0.05,NaC,0.95,fine_fine,13,6.7953924690030965
2,155485.0,195670.0,0.0412,0.7946287116062759,SDS,0.05,NaC,0.95,fine_fine,14,8.772813954464098
2,157003.0,200700.0,0.0412,0.7822770303936223,SDS,0.05,NaC,0.95,fine_fine,15,9.86941569877211
2,166078.0,224223.0,0.0393,0.7406822672072,SDS,0.05,NaC,0.95,fine_fine,16,11.185337791941723
2,177854.0,249954.0,0.039,0.7115469246341327,SDS,0.05,NaC,0.95,fine_fine,17,12.501259885111342
2,186641.0,272970.0,0.039,0.6837418031285489,SDS,0.05,NaC,0.95,fine_fine,18,13.817181978280956
2,197208.0,287846.0,0.0438,0.6851163469355142,SDS,0.05,NaC,0.95,fine_fine,19,15.133104071450571
2,203307.0,297675.0,0.041,0.6829831191735953,SDS,0.05,NaC,0.95,fine_fine,20,16.449026164620186
2,212269.0,312086.0,0.0397,0.6801618784565793,SDS,0.05,NaC,0.95,fine_fine,21,19.738831397544224
2,202612.0,301360.0,0.0397,0.6723254579240775,SDS,0.05,NaC,0.95,fine_fine,22,25.48272175876161
2,190849.0,283666.0,0.0413,0.672794765675125,SDS,0.05,NaC,0.95,fine_fine,23,32.89805232924037
3,155253.0,197922.0,0.0403,0.7844150726043593,SDS,0.05,NaC,0.95,fine_fine,24,5.263688372678459
3,140471.0,176434.0,0.0405,0.7961674053753811,SDS,0.05,NaC,0.95,fine_fine,25,6.7953924690030965
3,146752.0,187793.0,0.0412,0.7814561778128045,SDS,0.05,NaC,0.95,fine_fine,26,8.772813954464098
3,150603.0,194918.0,0.0411,0.7726479853066418,SDS,0.05,NaC,0.95,fine_fine,27,9.86941569877211
3,159176.0,217067.0,0.0392,0.7333035422242902,SDS,0.05,NaC,0.95,fine_fine,28,11.185337791941723
3,170374.0,242876.0,0.0394,0.7014855317116553,SDS,0.05,NaC,0.95,fine_fine,29,12.501259885111342
3,183131.0,268556.0,0.0393,0.6819099182293451,SDS,0.05,NaC,0.95,fine_fine,30,13.817181978280956
3,192245.0,283907.0,0.0445,0.6771407538384049,SDS,0.05,NaC,0.95,fine_fine,31,15.133104071450571
3,199489.0,293275.0,0.0408,0.6802114056772653,SDS,0.05,NaC,0.95,fine_fine,32,16.449026164620186
3,207382.0,304765.0,0.0398,0.6804652765245353,SDS,0.05,NaC,0.95,fine_fine,33,19.738831397544224
3,199560.0,298376.0,0.0398,0.6688205485695901,SDS,0.05,NaC,0.95,fine_fine,34,25.48272175876161
3,188415.0,281946.0,0.0412,0.6682662637526335,SDS,0.05,NaC,0.95,fine_fine,35,32.89805232924037
1,145353.0,181322.0,0.0395,0.8016291459392683,SDS,0.8,NaC,0.2,fine_fine,0,3.1076026965210355
1,152358.0,190149.0,0.0438,0.8012558572487891,SDS,0.8,NaC,0.2,fine_fine,1,4.011897830085077
1,149340.0,185841.0,0.0419,0.8035901657868824,SDS,0.8,NaC,0.2,fine_fine,2,5.1793378275350594
